record_date,stmt_fiscal_year,restmt_flag,account_desc,line_item_desc,position_bil_amt,src_line_nbr,record_fiscal_year,record_fiscal_quarter,record_calendar_year,record_calendar_quarter,record_calendar_month,record_calendar_day
1996-09-30,1996,N,Assets,Total assets,1723.9,7,1996,4,1996,3,09,30
1996-09-30,1996,N,Liabilities and net position,Accounts payable,161.8,8,1996,4,1996,3,09,30
1996-09-30,1996,N,Liabilities and net position,Federal debt securities held by the public,3730.0,9,1996,4,1996,3,09,30
1996-09-30,1996,N,Liabilities and net position,Pensions and other actuarial liabilities,1651.5,10,1996,4,1996,3,09,30
1996-09-30,1996,N,Liabilities and net position,Environmental liabilities,246.5,11,1996,4,1996,3,09,30
1996-09-30,1996,N,Liabilities and net position,Other liabilities,283.6,12,1996,4,1996,3,09,30
1996-09-30,1996,N,Liabilities and net position,Total liabilities,6073.4,13,1996,4,1996,3,09,30
1996-09-30,1996,N,Liabilities and net position,Net position,-4349.5,14,1996,4,1996,3,09,30
1997-09-30,1997,N,Assets,Cash and other monetary assets,92.7,1,1997,4,1997,3,09,30
1997-09-30,1997,N,Assets,Accounts receivable,35.2,2,1997,4,1997,3,09,30
1997-09-30,1997,N,Assets,Loans receivable,156.2,3,1997,4,1997,3,09,30
1997-09-30,1997,N,Assets,Taxes receivable,28.1,4,1997,4,1997,3,09,30
1997-09-30,1997,N,Assets,Inventories and related property,209.4,5,1997,4,1997,3,09,30
1997-09-30,1997,N,Assets,"Property, plant and equipment",1017.0,6,1997,4,1997,3,09,30
1997-09-30,1997,N,Assets,Other assets,62.9,7,1997,4,1997,3,09,30
1997-09-30,1997,N,Assets,Total assets,1601.5,8,1997,4,1997,3,09,30
1997-09-30,1997,N,Liabilities and net position,Accounts payable,97.7,9,1997,4,1997,3,09,30
1997-09-30,1997,N,Liabilities and net position,Federal debt securities held by the public,3768.2,10,1997,4,1997,3,09,30
1997-09-30,1997,N,Liabilities and net position,Federal employee and veteran benefits payable,2243.7,11,1997,4,1997,3,09,30
1997-09-30,1997,N,Liabilities and net position,Environmental liabilities,211.7,12,1997,4,1997,3,09,30
1997-09-30,1997,N,Liabilities and net position,Benefits due and payable,77.7,13,1997,4,1997,3,09,30
1997-09-30,1997,N,Liabilities and net position,Loan guarantee liabilities,36.7,14,1997,4,1997,3,09,30
1997-09-30,1996,Y,Assets,Cash and other monetary assets,null,1,1997,4,1997,3,09,30
1997-09-30,1996,Y,Assets,Accounts receivable,null,2,1997,4,1997,3,09,30
1997-09-30,1996,Y,Assets,Loans receivable,null,3,1997,4,1997,3,09,30
1997-09-30,1996,Y,Assets,Taxes receivable,null,4,1997,4,1997,3,09,30
1997-09-30,1996,Y,Assets,Inventories and related property,null,5,1997,4,1997,3,09,30
1997-09-30,1996,Y,Assets,"Property, plant and equipment",null,6,1997,4,1997,3,09,30
1997-09-30,1996,Y,Assets,Other assets,null,7,1997,4,1997,3,09,30
1997-09-30,1996,Y,Assets,Total assets,null,8,1997,4,1997,3,09,30
1997-09-30,1996,Y,Liabilities and net position,Accounts payable,null,9,1997,4,1997,3,09,30
1997-09-30,1996,Y,Liabilities and net position,Other liabilities,null,15,1997,4,1997,3,09,30
1997-09-30,1996,Y,Liabilities and net position,Federal debt securities held by the public,null,10,1997,4,1997,3,09,30
1997-09-30,1996,Y,Liabilities and net position,Federal employee and veteran benefits payable,null,11,1997,4,1997,3,09,30
1997-09-30,1996,Y,Liabilities and net position,Environmental liabilities,null,12,1997,4,1997,3,09,30
1997-09-30,1996,Y,Liabilities and net position,Benefits due and payable,null,13,1997,4,1997,3,09,30
1997-09-30,1996,Y,Liabilities and net position,Loan guarantee liabilities,null,14,1997,4,1997,3,09,30
1997-09-30,1996,Y,Liabilities and net position,Total liabilities,null,16,1997,4,1997,3,09,30
1997-09-30,1996,Y,Liabilities and net position,Net position,null,17,1997,4,1997,3,09,30
1997-09-30,1997,N,Liabilities and net position,Total liabilities and net position,1601.5,18,1997,4,1997,3,09,30
1997-09-30,1996,Y,Liabilities and net position,Total liabilities and net position,null,18,1997,4,1997,3,09,30
1997-09-30,1997,N,Liabilities and net position,Other liabilities,168.8,15,1997,4,1997,3,09,30
1997-09-30,1997,N,Liabilities and net position,Total liabilities,6604.5,16,1997,4,1997,3,09,30
1997-09-30,1997,N,Liabilities and net position,Net position,-5003.0,17,1997,4,1997,3,09,30
1998-09-30,1998,N,Assets,Other assets,59.9,7,1998,4,1998,3,09,30
1998-09-30,1997,Y,Assets,Cash and other monetary assets,null,1,1998,4,1998,3,09,30
1998-09-30,1997,Y,Assets,Accounts receivable,null,2,1998,4,1998,3,09,30
1998-09-30,1997,Y,Assets,Loans receivable,null,3,1998,4,1998,3,09,30
1998-09-30,1997,Y,Assets,Taxes receivable,null,4,1998,4,1998,3,09,30
1998-09-30,1997,Y,Assets,Inventories and related property,null,5,1998,4,1998,3,09,30
1998-09-30,1997,Y,Assets,"Property, plant and equipment",null,6,1998,4,1998,3,09,30
1998-09-30,1997,Y,Assets,Other assets,null,7,1998,4,1998,3,09,30
1998-09-30,1997,Y,Assets,Total assets,null,8,1998,4,1998,3,09,30
1998-09-30,1997,Y,Liabilities and net position,Accounts payable,null,9,1998,4,1998,3,09,30
1998-09-30,1997,Y,Liabilities and net position,Federal debt securities held by the public,null,10,1998,4,1998,3,09,30
1998-09-30,1997,Y,Liabilities and net position,Federal employee and veteran benefits payable,null,11,1998,4,1998,3,09,30
1998-09-30,1997,Y,Liabilities and net position,Environmental liabilities,null,12,1998,4,1998,3,09,30
1998-09-30,1997,Y,Liabilities and net position,Benefits due and payable,null,13,1998,4,1998,3,09,30
1998-09-30,1997,Y,Liabilities and net position,Loan guarantee liabilities,null,14,1998,4,1998,3,09,30
1998-09-30,1997,Y,Liabilities and net position,Other liabilities,null,15,1998,4,1998,3,09,30
1998-09-30,1997,Y,Liabilities and net position,Total liabilities,null,16,1998,4,1998,3,09,30
1998-09-30,1997,Y,Liabilities and net position,Net position,null,17,1998,4,1998,3,09,30
1998-09-30,1997,Y,Liabilities and net position,Total liabilities and net position,null,18,1998,4,1998,3,09,30
1998-09-30,1998,N,Assets,Cash and other monetary assets,96.8,1,1998,4,1998,3,09,30
1998-09-30,1998,N,Assets,Accounts receivable,36.1,2,1998,4,1998,3,09,30
1998-09-30,1998,N,Assets,Loans receivable,166.8,3,1998,4,1998,3,09,30
1998-09-30,1998,N,Assets,Taxes receivable,27.1,4,1998,4,1998,3,09,30
1998-09-30,1998,N,Assets,Inventories and related property,166.8,5,1998,4,1998,3,09,30
1998-09-30,1998,N,Assets,"Property, plant and equipment",299.3,6,1998,4,1998,3,09,30
1998-09-30,1998,N,Assets,Total assets,852.8,8,1998,4,1998,3,09,30
1998-09-30,1998,N,Liabilities and net position,Accounts payable,90.0,9,1998,4,1998,3,09,30
1998-09-30,1998,N,Liabilities and net position,Federal debt securities held by the public,3717.7,10,1998,4,1998,3,09,30
